Date,Precipitation [mm/day],Discharge [m^3/s],Mean Temperature [C],Minimum Temperature [C],Maximum Temperature [C],Photoperiod [hr]
1893.01.01,0,,,,,8.918914
1893.01.02,0,,,,,8.932186
1893.01.03,3.47578,,,,,8.946690
1893.01.04,0.918036,,,,,8.962412
1893.01.05,0,,,,,8.979336
1893.01.06,3.98298,,,,,8.997446
1893.01.07,0,,,,,9.016722
1893.01.08,0,,,,,9.037147
1893.01.09,0,,,,,9.058701
1893.01.10,0,,,,,9.081363
1893.01.11,4.18196,,,,,9.105113
1893.01.12,0,,,,,9.129928
1893.01.13,0,,,,,9.155787
1893.01.14,0,,,,,9.182666
1893.01.15,0,,,,,9.210542
1893.01.16,0,,,,,9.239391
1893.01.17,1.08815,,,,,9.269190
1893.01.18,0,,,,,9.299913
1893.01.19,0.381964,,,,,9.331536
1893.01.20,5.36698,,,,,9.364035
1893.01.21,0,,,,,9.397385
1893.01.22,0,,,,,9.431561
1893.01.23,0.918036,,,,,9.466538
1893.01.24,8.70153,,,,,9.502291
1893.01.25,4.51956,,,,,9.538796
1893.01.26,0,,,,,9.576029
1893.01.27,0.918036,,,,,9.613965
1893.01.28,3.06545,,,,,9.652580
1893.01.29,2.68349,,,,,9.691850
1893.01.30,0,,,,,9.731752
1893.01.31,2.5,,,,,9.772263
1893.02.01,,,,,,9.813361
1893.02.02,,,,,,9.855022
1893.02.03,,,,,,9.897226
1893.02.04,,,,,,9.939950
1893.02.05,,,,,,9.983173
1893.02.06,,,,,,10.026876
1893.02.07,,,,,,10.071037
1893.02.08,,,,,,10.115638
1893.02.09,,,,,,10.160660
1893.02.10,,,,,,10.206082
1893.02.11,,,,,,10.251889
1893.02.12,,,,,,10.298061
1893.02.13,,,,,,10.344583
1893.02.14,,,,,,10.391436
1893.02.15,,,,,,10.438607
1893.02.16,,,,,,10.486077
1893.02.17,,,,,,10.533834
1893.02.18,,,,,,10.581861
1893.02.19,,,,,,10.630146
1893.02.20,,,,,,10.678673
1893.02.21,,,,,,10.727431
1893.02.22,,,,,,10.776406
1893.02.23,,,,,,10.825586
1893.02.24,,,,,,10.874959
1893.02.25,,,,,,10.924514
1893.02.26,,,,,,10.974239
1893.02.27,,,,,,11.024125
1893.02.28,,,,,,11.074159
1893.03.01,,,,,,11.124334
1893.03.02,,,,,,11.174638
1893.03.03,,,,,,11.225064
1893.03.04,,,,,,11.275601
1893.03.05,,,,,,11.326241
1893.03.06,,,,-23.0387,,11.376975
1893.03.07,,,,,,11.427797
1893.03.08,,,,,,11.478697
1893.03.09,,,,,,11.529668
1893.03.10,,,,,,11.580703
1893.03.11,,,,,,11.631795
1893.03.12,,,,,,11.682936
1893.03.13,,,,,,11.734119
1893.03.14,,,,,,11.785339
1893.03.15,,,,,,11.836589
1893.03.16,,,,,,11.887861
1893.03.17,,,,,,11.939151
1893.03.18,,,,,,11.990451
1893.03.19,,,,,,12.041756
1893.03.20,,,,,,12.093059
1893.03.21,,,,,,12.144355
1893.03.22,,,,,,12.195638
1893.03.23,,,,,,12.246902
1893.03.24,,,,,,12.298141
1893.03.25,,,,,,12.349350
1893.03.26,,,,,,12.400521
1893.03.27,,,,,,12.451650
1893.03.28,,,,,,12.502730
1893.03.29,,,,,,12.553756
1893.03.30,,,,,,12.604720
1893.03.31,,,,,11.8928,12.655618
1893.04.01,,,,,,12.706443
1893.04.02,,,,,,12.757187
1893.04.03,,,,,,12.807846
1893.04.04,,,,,,12.858412
1893.04.05,,,,,,12.908878
1893.04.06,,,,,,12.959237
1893.04.07,,,,,,13.009482
1893.04.08,,,,,,13.059606
1893.04.09,,,,,,13.109600
1893.04.10,,,,,,13.159458
1893.04.11,,,,,,13.209171
1893.04.12,,,,,,13.258731
1893.04.13,,,,,,13.308128
1893.04.14,,,,,,13.357356
1893.04.15,,,,,,13.406403
1893.04.16,,,,,,13.455261
1893.04.17,,,,,,13.503920
1893.04.18,,,,,,13.552370
1893.04.19,,,,,,13.600601
1893.04.20,,,,,,13.648601
1893.04.21,,,,,,13.696361
1893.04.22,,,,,,13.743867
1893.04.23,,,,,,13.791110
1893.04.24,,,,,,13.838076
1893.04.25,,,,,,13.884753
1893.04.26,,,,,,13.931128
1893.04.27,,,,,,13.977188
1893.04.28,,,,,,14.022919
1893.04.29,,,,,,14.068307
1893.04.30,,,,,,14.113338
1893.05.01,,,,0,,14.157997
1893.05.02,3.03658,,,,,14.202269
1893.05.03,0,,,1.97731,,14.246138
1893.05.04,6.72844,,,0.100509,,14.289587
1893.05.05,10.734,,,,,14.332602
1893.05.06,0,,,0.7768,,14.375164
1893.05.07,0,,,,,14.417257
1893.05.08,0,,,,,14.458863
1893.05.09,0,,,,,14.499965
1893.05.10,1.88044,,,,,14.540544
1893.05.11,8.05047,,,,,14.580581
1893.05.12,0.564945,,,,,14.620058
1893.05.13,0,,,,,14.658956
1893.05.14,0,,,,,14.697255
1893.05.15,0,,,,,14.734935
1893.05.16,0,,,,,14.771978
1893.05.17,0,,,,,14.808361
1893.05.18,0,,,,,14.844066
1893.05.19,0,,,,,14.879072
1893.05.20,0,,,,,14.913357
1893.05.21,0,,,,,14.946903
1893.05.22,22.6233,,,,,14.979686
1893.05.23,0,,,,,15.011688
1893.05.24,3.03658,,,,,15.042888
1893.05.25,0,,,,,15.073263
1893.05.26,0,,,,,15.102795
1893.05.27,0,,,,,15.131463
1893.05.28,0,,,,,15.159246
1893.05.29,0,,,,,15.186124
1893.05.30,0,,,,,15.212078
1893.05.31,0,,,,,15.237088
1893.06.01,,,,,,15.261135
1893.06.02,,,,,,15.284201
1893.06.03,,,,,,15.306268
1893.06.04,,,,,,15.327317
1893.06.05,,,,,,15.347332
1893.06.06,,,,,,15.366297
1893.06.07,,,,,,15.384196
1893.06.08,,,,,,15.401013
1893.06.09,,,,,,15.416734
1893.06.10,,,,,,15.431347
1893.06.11,,,,,,15.444838
1893.06.12,,,,,,15.457196
1893.06.13,,,,,,15.468409
1893.06.14,,,,,,15.478469
1893.06.15,,,,,,15.487365
1893.06.16,,,,,,15.495091
1893.06.17,,,,,,15.501639
1893.06.18,,,,,,15.507005
1893.06.19,,,,,,15.511182
1893.06.20,,,,,,15.514168
1893.06.21,,,,,,15.515961
1893.06.22,,,,,,15.516559
1893.06.23,,,,,,15.515961
1893.06.24,,,,,,15.514170
